"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"GET","/questionnaire",289,0,160,236,83,1389,289,0.16,0.00,160,170,210,450,470,500,780,840,1400,1400,1400,1400
"GET","/questionnaire/any-visitors/",288,0,170,243,96,2448,11947,0.16,0.00,170,180,210,220,490,540,810,990,2400,2400,2400,2400
"POST","/questionnaire/any-visitors/",288,0,470,425,94,5208,319,0.16,0.00,480,520,540,570,680,850,1400,1600,5200,5200,5200,5200
"GET","/questionnaire/anyone-else-list-collector/",578,0,170,253,76,2427,9627,0.32,0.00,170,180,200,310,500,720,1000,1300,2400,2400,2400,2400
"POST","/questionnaire/anyone-else-list-collector/",578,0,300,386,89,2697,291,0.32,0.00,310,520,560,590,630,790,920,1300,2700,2700,2700,2700
"GET","/questionnaire/anyone-else-temp-away-list-collector/",289,0,170,264,82,1337,12074,0.16,0.00,170,180,300,470,500,540,860,1200,1300,1300,1300,1300
"POST","/questionnaire/anyone-else-temp-away-list-collector/",289,0,500,453,105,2634,259,0.16,0.00,500,530,570,590,650,900,1400,2500,2600,2600,2600,2600
"GET","/questionnaire/household/add-person/",289,0,170,248,78,1251,8592,0.16,0.00,170,180,220,460,490,510,730,1100,1300,1300,1300,1300
"POST","/questionnaire/household/add-person/",289,0,460,409,102,1491,287,0.16,0.00,460,540,580,600,740,910,1100,1200,1500,1500,1500,1500
"GET","/questionnaire/household/{id}/add-or-edit-primary-person/",289,0,170,250,103,1486,8444,0.16,0.00,170,180,210,420,480,520,820,1400,1500,1500,1500,1500
"POST","/questionnaire/household/{id}/add-or-edit-primary-person/",289,0,340,403,99,1541,287,0.16,0.00,340,540,580,600,740,910,1100,1400,1500,1500,1500,1500
"GET","/questionnaire/primary-person-list-collector/",289,0,170,245,84,1145,9743,0.16,0.00,170,180,200,270,500,510,1100,1100,1100,1100,1100,1100
"POST","/questionnaire/primary-person-list-collector/",289,0,430,420,104,5139,321,0.16,0.00,430,540,590,610,740,860,930,1400,5100,5100,5100,5100
"GET","/questionnaire/visitor/add-visitor/?previous=any-visitors",288,288,160,235,76,2651,233,0.16,0.16,160,160,180,210,470,500,790,1400,2700,2700,2700,2700
"GET","/questionnaire/who-lives-here-interstitial/",289,0,170,249,77,1654,7737,0.16,0.00,170,180,210,460,490,510,820,1100,1700,1700,1700,1700
"POST","/questionnaire/who-lives-here-interstitial/",289,0,430,419,88,5002,293,0.16,0.00,430,530,590,600,640,910,1400,1500,5000,5000,5000,5000
"GET","/session",289,0,330,444,130,2267,233,0.16,0.00,330,440,600,620,740,970,1600,1800,2300,2300,2300,2300
"None","Aggregated",5488,288,180,327,76,5208,4257,3.05,0.16,180,430,490,520,610,780,990,1300,2600,5200,5200,5200
