"Timestamp","User Count","Type","Name","Requests/s","Failures/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999%","100%","Total Request Count","Total Failure Count","Total Median Response Time","Total Average Response Time","Total Min Response Time","Total Max Response Time","Total Average Content Size"
"1600876486","1","","Aggregated",0.00,0.00,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",0,0,0,0,0,0,0
"1600876488","1","","Aggregated",0.00,0.00,160,160,680,680,680,680,680,680,680,680,680,680,3,0,160,304,79,675,8571
"1600876490","1","","Aggregated",1.50,0.00,87,160,160,160,680,680,680,680,680,680,680,680,7,0,87,183,62,675,11777
"1600876492","1","","Aggregated",1.25,0.00,110,120,160,160,220,680,680,680,680,680,680,680,12,0,95,160,62,675,11757
"1600876494","1","","Aggregated",1.40,0.00,110,120,160,160,220,680,680,680,680,680,680,680,14,0,95,152,62,675,12533
"1600876496","1","","Aggregated",1.75,0.00,95,120,130,160,220,680,680,680,680,680,680,680,18,0,93,137,56,675,13119
"1600876498","1","","Aggregated",1.56,0.00,93,120,120,130,220,600,600,600,600,600,600,600,20,0,93,157,56,675,13282
"1600876500","1","","Aggregated",1.70,0.00,92,110,120,120,220,600,600,600,600,600,600,600,24,0,87,140,42,675,13531
"1600876502","1","","Aggregated",1.70,0.00,69,78,93,120,130,600,600,600,600,600,600,600,27,0,86,131,41,675,13418
"1600876504","1","","Aggregated",1.60,0.00,69,76,86,86,130,600,600,600,600,600,600,600,30,0,80,125,41,675,13266
"1600876506","1","","Aggregated",1.50,0.00,66,74,78,91,580,600,600,600,600,600,600,600,33,0,80,135,41,675,13745
"1600876508","1","","Aggregated",1.50,0.00,66,74,76,77,91,580,580,580,580,580,580,580,37,0,78,128,41,675,13820
"1600876510","1","","Aggregated",1.50,0.00,69,74,87,87,91,580,580,580,580,580,580,580,40,0,77,123,41,675,13453
"1600876512","1","","Aggregated",1.70,0.00,69,74,87,87,91,580,580,580,580,580,580,580,43,0,76,118,41,675,13971
"1600876514","1","","Aggregated",1.70,0.00,62,70,71,77,89,580,580,580,580,580,580,580,47,0,71,113,41,675,14205
"1600876516","1","","Aggregated",1.60,0.00,57,69,71,77,87,89,89,89,89,89,89,89,51,0,70,108,39,675,14130
"1600876518","1","","Aggregated",1.80,0.00,54,62,69,70,81,87,87,87,87,87,87,87,55,0,69,105,39,675,14103
"1600876520","1","","Aggregated",1.80,0.00,54,63,69,70,70,81,81,81,81,81,81,81,58,0,69,103,39,675,13850
"1600876522","1","","Aggregated",1.80,0.00,54,63,70,70,72,81,81,81,81,81,81,81,61,0,69,100,39,675,14158
"1600876524","1","","Aggregated",1.70,0.00,62,63,70,70,72,81,81,81,81,81,81,81,65,0,68,98,39,675,14170
"1600876526","1","","Aggregated",1.80,0.00,63,70,70,72,75,85,85,85,85,85,85,85,69,0,69,96,39,675,14208
"1600876528","1","","Aggregated",1.80,0.00,65,70,72,74,85,100,100,100,100,100,100,100,73,0,69,95,39,675,14295
"1600876530","1","","Aggregated",1.80,0.00,65,70,74,74,85,100,100,100,100,100,100,100,75,0,68,94,39,675,14340
