"Timestamp","User Count","Type","Name","Requests/s","Failures/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999%","100%","Total Request Count","Total Failure Count","Total Median Response Time","Total Average Response Time","Total Min Response Time","Total Max Response Time","Total Average Content Size"
"1600778672","1","","Aggregated",0.00,0.00,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",0,0,0,0,0,0,0
"1600778674","64","","Aggregated",0.00,0.00,1000,1200,1200,1200,1200,1300,1300,1300,1300,1300,1300,1300,73,0,260,379,40,1340,2068
"1600778676","64","","Aggregated",35.00,0.00,130,280,970,1200,1500,1900,2100,2200,2200,2200,2200,2200,293,0,150,434,23,2233,6079
"1600778678","64","","Aggregated",72.50,0.00,54,71,100,170,1100,1500,2000,2100,2200,2200,2200,2200,590,0,59,242,23,2233,6382
"1600778680","64","","Aggregated",94.83,0.00,51,62,79,96,290,1400,1800,2100,2200,2200,2200,2200,822,0,52,188,23,2233,7096
"1600778682","64","","Aggregated",100.12,0.00,49,58,70,84,190,1200,1600,2000,2200,2200,2200,2200,1042,0,50,159,23,2233,7760
"1600778684","64","","Aggregated",103.00,0.00,47,53,59,65,94,160,340,1900,2200,2200,2200,2200,1282,0,48,137,23,2233,7988
"1600778686","64","","Aggregated",119.50,0.00,44,49,52,55,65,79,100,110,150,160,160,160,1520,0,47,122,21,2233,8103
"1600778688","64","","Aggregated",122.40,0.00,41,46,49,51,59,67,91,100,130,130,130,130,1718,0,45,112,20,2233,8058
"1600778690","64","","Aggregated",114.50,0.00,40,45,48,50,57,64,76,91,110,110,110,110,1955,0,44,103,20,2233,8401
"1600778692","64","","Aggregated",113.80,0.00,38,43,47,49,54,60,68,75,100,110,110,110,2187,0,44,96,20,2233,8377
"1600778694","64","","Aggregated",113.30,0.00,38,43,46,48,53,58,65,75,100,110,110,110,2412,0,43,91,20,2233,8386
"1600778696","64","","Aggregated",113.00,0.00,40,45,48,50,55,60,70,77,100,110,110,110,2649,0,43,87,20,2233,8469
"1600778698","64","","Aggregated",111.60,0.00,39,44,47,49,54,60,75,87,240,310,310,310,2881,0,43,83,20,2233,8550
"1600778700","64","","Aggregated",115.70,0.00,40,44,47,49,54,60,73,80,240,310,310,310,3131,0,42,80,20,2233,8621
"1600778702","64","","Aggregated",118.20,0.00,41,46,49,51,58,72,91,110,240,310,310,310,3377,0,42,78,20,2233,8568
"1600778704","64","","Aggregated",118.00,0.00,41,47,50,52,60,72,91,110,240,310,310,310,3594,0,43,76,20,2233,8518
"1600778706","64","","Aggregated",117.70,0.00,43,48,51,54,64,75,96,110,240,310,310,310,3831,0,43,74,20,2233,8574
"1600778708","64","","Aggregated",117.50,0.00,44,49,53,56,65,77,96,110,180,180,180,180,4063,0,43,72,20,2233,8569
"1600778710","64","","Aggregated",116.70,0.00,46,51,54,57,67,80,98,110,180,180,180,180,4300,0,43,71,20,2233,8572
"1600778712","64","","Aggregated",116.50,0.00,45,50,53,55,63,71,92,100,120,130,130,130,4546,0,43,70,20,2233,8594
"1600778714","64","","Aggregated",116.50,0.00,45,49,53,55,62,69,87,100,120,130,130,130,4773,0,43,68,20,2233,8680
"1600778716","64","","Aggregated",117.00,0.00,44,49,53,55,62,69,82,100,120,130,130,130,5006,0,43,67,20,2233,8725
"1600778718","64","","Aggregated",117.40,0.00,45,49,53,55,60,65,74,84,120,130,130,130,5245,0,43,66,20,2233,8727
"1600778720","64","","Aggregated",117.40,0.00,45,49,53,55,61,67,76,85,120,130,130,130,5483,0,44,65,20,2233,8740
"1600778722","64","","Aggregated",116.50,0.00,45,50,53,55,61,68,76,84,100,120,120,120,5718,0,44,65,20,2233,8782
"1600778724","64","","Aggregated",117.10,0.00,45,50,53,55,61,67,76,82,100,120,120,120,5954,0,44,64,20,2233,8737
"1600778726","64","","Aggregated",117.00,0.00,45,50,53,55,60,67,76,80,100,120,120,120,6190,0,44,63,20,2233,8730
"1600778728","64","","Aggregated",116.80,0.00,44,50,52,54,60,65,75,80,100,120,120,120,6426,0,44,62,20,2233,8776
"1600778730","64","","Aggregated",117.50,0.00,44,49,52,54,60,65,76,82,140,150,150,150,6662,0,44,62,20,2233,8817
"1600778732","64","","Aggregated",117.30,0.00,44,49,52,55,60,65,77,82,140,150,150,150,6904,0,44,61,20,2233,8826
"1600778734","64","","Aggregated",117.30,0.00,44,49,52,54,59,67,80,90,140,150,150,150,7140,0,44,61,20,2233,8793
"1600778736","64","","Aggregated",117.40,0.00,45,49,52,54,60,66,80,90,140,150,150,150,7375,0,44,60,20,2233,8762
"1600778738","64","","Aggregated",117.20,0.00,44,48,51,53,59,66,80,90,140,150,150,150,7613,0,44,60,20,2233,8721
"1600778740","64","","Aggregated",117.30,0.00,44,47,50,52,57,64,77,84,120,130,130,130,7846,0,44,59,20,2233,8706
"1600778742","64","","Aggregated",117.20,0.00,44,47,50,52,58,65,77,85,120,130,130,130,8087,0,44,59,20,2233,8751
"1600778744","64","","Aggregated",117.20,0.00,43,47,50,52,58,65,74,82,110,120,120,120,8334,0,44,58,20,2233,8801
"1600778746","64","","Aggregated",117.90,0.00,41,46,49,51,56,64,74,84,120,120,120,120,8568,0,43,58,20,2233,8774
