Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1606236159,1,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1606236160,79,,Aggregated,0.000000,0.000000,740,740,770,770,810,830,830,830,830,830,830,11,0,740.0,725.1115818137557,530.2989000047091,830.300100002205,237.0
1606236161,100,,Aggregated,0.000000,0.000000,810,940,1000,1100,1200,1200,1500,1800,1800,1800,1800,99,0,810.0,793.4804494940145,102.28780002216808,1792.2582000028342,252.23232323232324
1606236162,100,,Aggregated,0.000000,0.000000,910,1100,1200,1200,1600,1700,1900,1900,2000,2000,2000,150,0,910.0,930.5817913333885,102.28780002216808,2028.9231000060681,257.1066666666667
1606236163,100,,Aggregated,8.500000,0.000000,970,1100,1300,1500,1800,2200,2400,2500,2800,2800,2800,173,0,970.0,1041.80700057812,102.28780002216808,2808.755399979418,615.7283236994219
1606236164,100,,Aggregated,34.333333,0.000000,1000,1200,1600,1700,2300,2800,3000,3500,3500,3500,3500,198,0,1000.0,1149.1183934346984,99.57250001025386,3533.599900023546,1977.4545454545455
1606236165,100,,Aggregated,38.250000,0.000000,1100,1700,2300,2700,3400,3800,4000,4200,4500,4500,4500,266,0,1100.0,1490.7425233081756,87.14529999997467,4469.246599997859,4111.116541353384
1606236166,100,,Aggregated,35.000000,0.000000,910,1500,2300,2800,3400,3800,4200,4500,4500,4500,4500,388,0,910.0,1353.7088309277567,61.108199995942414,4518.912500003353,6079.762886597938
1606236167,100,,Aggregated,33.333333,0.000000,530,1000,1500,2000,3200,3700,4000,4400,4500,4500,4500,528,0,530.0,1051.667578030295,61.108199995942414,4518.912500003353,6968.068181818182
1606236168,100,,Aggregated,39.857143,0.000000,410,810,1100,1600,3100,3600,4000,4200,4500,4500,4500,626,0,410.0,939.551632588033,61.108199995942414,4518.912500003353,7197.990415335464
1606236169,100,,Aggregated,49.875000,0.000000,450,780,1000,1200,2800,3400,3900,4200,4500,4500,4500,740,0,440.0,875.7823432433479,61.108199995942414,4518.912500003353,7771.713513513513
1606236170,100,,Aggregated,59.111111,0.000000,380,700,890,1100,2500,3300,3900,4100,4500,4500,4500,882,0,380.0,784.913173242655,61.108199995942414,4518.912500003353,8108.244897959184
1606236171,100,,Aggregated,64.100000,0.000000,280,550,780,920,2000,3200,3800,4000,4500,4500,4500,1049,0,280.0,687.4160615825409,61.108199995942414,4518.912500003353,7834.4661582459485
1606236172,100,,Aggregated,74.800000,0.000000,260,470,710,840,1700,3200,3800,4000,4500,4500,4500,1198,0,260.0,633.5546805512453,61.108199995942414,4518.912500003353,7688.204507512521
1606236173,100,,Aggregated,87.400000,0.000000,250,440,660,770,1400,3000,3700,3900,4500,4500,4500,1356,0,250.0,591.1315735992285,61.108199995942414,4518.912500003353,8163.817109144543
1606236174,100,,Aggregated,95.700000,0.000000,220,400,580,730,1200,2800,3600,3900,4500,4500,4500,1493,0,220.0,553.9427371737744,61.108199995942414,4518.912500003353,8447.410582719356
1606236175,100,,Aggregated,106.300000,0.000000,220,370,530,690,1100,2600,3500,3900,4500,4500,4500,1630,0,220.0,526.9383182823965,61.108199995942414,4518.912500003353,8799.76625766871
1606236176,100,,Aggregated,118.900000,0.000000,210,350,480,610,1000,2400,3400,3900,4500,4500,4500,1788,0,210.0,496.296665492438,61.108199995942414,4518.912500003353,9114.490492170022
1606236177,100,,Aggregated,130.200000,0.000000,190,320,440,570,990,2300,3400,3800,4500,4500,4500,1941,0,190.0,468.1615750131721,61.108199995942414,4518.912500003353,9208.65275631118
1606236178,100,,Aggregated,135.900000,0.000000,180,290,410,510,920,2000,3300,3800,4500,4500,4500,2107,0,180.0,441.62521352667966,61.06029998045415,4518.912500003353,9320.853820598006
1606236179,100,,Aggregated,139.800000,0.000000,170,270,380,480,870,1800,3300,3800,4500,4500,4500,2258,0,170.0,421.58304242733465,46.14849999779835,4518.912500003353,9418.288751107175
1606236180,100,,Aggregated,142.200000,0.000000,160,260,360,450,830,1700,3300,3800,4500,4500,4500,2420,0,160.0,403.1334002483622,46.14849999779835,4518.912500003353,9491.639669421487
1606236181,100,,Aggregated,147.200000,0.000000,160,240,350,420,800,1600,3200,3700,4500,4500,4500,2579,0,160.0,386.38739751877085,44.247299985727295,4518.912500003353,9415.101589763473
1606236182,100,,Aggregated,151.600000,0.000000,150,230,330,400,770,1400,3200,3700,4500,4500,4500,2722,0,150.0,372.8488710143348,42.934800003422424,4518.912500003353,9121.223365172667
1606236183,100,,Aggregated,153.300000,0.000000,150,230,330,390,760,1300,3200,3600,4500,4500,4500,2841,0,150.0,365.28559616370705,42.934800003422424,4518.912500003353,9284.623372052094
1606236184,100,,Aggregated,151.900000,0.000000,150,220,320,380,740,1200,3200,3600,4500,4500,4500,2951,0,150.0,357.94127777070526,42.934800003422424,4518.912500003353,9419.82887156896
1606236185,100,,Aggregated,151.500000,0.000000,150,220,320,380,720,1200,3200,3600,4500,4500,4500,3095,0,150.0,351.42723602622294,42.934800003422424,4518.912500003353,9662.735379644588
1606236186,100,,Aggregated,148.100000,0.000000,150,220,310,370,690,1100,3100,3500,4500,4500,4500,3251,0,150.0,340.88342460817546,42.934800003422424,4518.912500003353,9665.167025530605
1606236187,100,,Aggregated,145.500000,0.000000,150,220,300,360,660,1100,3000,3500,4500,4500,4500,3406,0,150.0,332.4330051677918,42.934800003422424,4518.912500003353,9684.233998825603
1606236188,100,,Aggregated,146.300000,0.000000,150,210,290,350,630,1000,2900,3400,4500,4500,4500,3557,0,150.0,325.0868475967746,42.934800003422424,4518.912500003353,9656.6601068316
1606236189,100,,Aggregated,145.600000,0.000000,140,210,280,340,600,1000,2800,3400,4500,4500,4500,3699,0,140.0,318.5954711278695,42.934800003422424,4518.912500003353,9680.508515815085
1606236191,100,,Aggregated,145.300000,0.000000,140,210,280,340,580,1000,2800,3400,4500,4500,4500,3851,0,140.0,313.60696416562064,42.934800003422424,4518.912500003353,9686.24746819008
1606236192,100,,Aggregated,144.400000,0.000000,140,210,280,340,570,970,2700,3400,4500,4500,4500,3995,0,140.0,309.2221166211931,42.934800003422424,4518.912500003353,9717.549937421778
1606236193,100,,Aggregated,142.700000,0.000000,150,200,270,340,550,930,2600,3300,4500,4500,4500,4144,0,150.0,304.994482987788,42.934800003422424,4518.912500003353,9714.819980694981
1606236194,100,,Aggregated,141.600000,0.000000,150,200,270,330,530,910,2500,3300,4500,4500,4500,4275,0,150.0,301.2050531231403,42.934800003422424,4518.912500003353,9749.798128654971
1606236195,100,,Aggregated,140.600000,0.000000,150,200,260,330,520,890,2500,3300,4500,4500,4500,4444,0,150.0,296.0303340461347,42.934800003422424,4518.912500003353,9839.017551755176
1606236196,100,,Aggregated,142.800000,0.000000,150,200,270,330,520,870,2400,3300,4500,4500,4500,4523,0,150.0,295.33016387371765,42.934800003422424,4518.912500003353,9792.479770064117
1606236197,100,,Aggregated,148.500000,0.000000,150,210,270,340,560,890,2400,3300,4500,4500,4500,4675,0,150.0,299.7928496472286,42.934800003422424,4518.912500003353,9923.375828877006
1606236198,100,,Aggregated,141.900000,0.000000,150,210,270,330,550,870,2300,3300,4500,4500,4500,4811,0,150.0,297.53127678256226,42.934800003422424,4518.912500003353,9906.453543961754
1606236199,100,,Aggregated,142.100000,0.000000,150,210,270,330,540,870,2300,3300,4500,4500,4500,4943,0,150.0,295.4699590129278,42.934800003422424,4518.912500003353,9965.92838357273
