Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/questionnaire/do-you-usually-live-here/,75,0,65,69.29148937332907,55.630417000031684,156.07170800001313,307.0,0.06256615118987495,0.0,65,69,70,73,86,97,120,160,160,160,160
GET,/questionnaire/household/people-living-here-add-person/,75,0,53,61.84473169332955,46.18283299998893,296.7775829999999,18924.0,0.06256615118987495,0.0,53,55,57,58,73,110,180,300,300,300,300
POST,/questionnaire/household/people-living-here-add-person/,75,0,64,69.13750668000347,56.961417000024994,188.55995800004166,275.0,0.06256615118987495,0.0,64,66,67,68,79,96,190,190,190,190,190
GET,/questionnaire/household/{id}/a-level/,150,0,55,61.29212891999712,49.87462499997264,634.8362919999993,23316.0,0.1251323023797499,0.0,55,57,58,59,66,72,95,160,630,630,630
POST,/questionnaire/household/{id}/a-level/,150,0,66,69.87990745333379,59.120457999995324,181.65200000009918,281.0,0.1251323023797499,0.0,66,69,70,71,77,95,130,140,180,180,180
GET,/questionnaire/household/{id}/another-address/,150,0,54,58.04976509333253,48.6916659999963,175.89762499994777,21751.0,0.1251323023797499,0.0,54,56,57,58,63,85,100,170,180,180,180
POST,/questionnaire/household/{id}/another-address/,150,0,67,70.34158330000146,57.109874999923704,178.55200000008153,297.0,0.1251323023797499,0.0,67,69,71,73,80,92,110,180,180,180,180
GET,/questionnaire/household/{id}/apprenticeship/,150,0,54,55.855327720002215,48.662707999994836,95.79074999999904,19328.0,0.1251323023797499,0.0,54,56,57,58,63,68,78,93,96,96,96
POST,/questionnaire/household/{id}/apprenticeship/,150,0,66,68.49497553333593,60.20100000000639,104.60629099998187,315.0,0.1251323023797499,0.0,67,69,71,72,77,81,90,100,100,100,100
GET,/questionnaire/household/{id}/armed-forces/,150,0,55,61.59369339333629,48.65958300001694,596.680916999997,22401.0,0.1251323023797499,0.0,55,58,58,59,66,74,120,170,600,600,600
POST,/questionnaire/household/{id}/armed-forces/,150,0,66,69.51251276666918,60.02933400003485,179.41137500008608,339.0,0.1251323023797499,0.0,66,68,70,71,76,94,110,120,180,180,180
GET,/questionnaire/household/{id}/business-name/,150,0,54,57.76296250667177,48.505582999951,201.44920799999966,19813.0,0.1251323023797499,0.0,54,56,57,58,61,75,170,170,200,200,200
POST,/questionnaire/household/{id}/business-name/,150,0,66,68.84726249333507,59.8192500000323,176.49966600004063,291.0,0.1251323023797499,0.0,66,70,71,71,76,82,100,110,180,180,180
GET,/questionnaire/household/{id}/business-type/,150,0,53,59.213829433334226,47.15933400001404,720.8105419999953,18654.5,0.1251323023797499,0.0,53,55,55,56,59,67,77,170,720,720,720
POST,/questionnaire/household/{id}/business-type/,150,0,66,88.02876022000235,57.25116599990088,3198.2653339999843,305.0,0.1251323023797499,0.0,66,67,69,70,74,85,110,120,3200,3200,3200
GET,/questionnaire/household/{id}/confirm-age/,150,0,53,57.664490553331916,48.712125000008655,412.4226670000155,18970.0,0.1251323023797499,0.0,53,56,57,58,65,71,97,110,410,410,410
POST,/questionnaire/household/{id}/confirm-age/,150,0,66,69.6806505800063,58.72658299998079,129.5350000000326,279.0,0.1251323023797499,0.0,67,70,71,72,78,93,120,130,130,130,130
GET,/questionnaire/household/{id}/confirm-who-is-answering/,150,0,53,54.672052493334945,46.77329200001168,105.08237499999495,19060.0,0.1251323023797499,0.0,53,54,55,56,58,68,96,98,110,110,110
POST,/questionnaire/household/{id}/confirm-who-is-answering/,150,0,65,67.73501419332685,58.20925000000443,121.10837500017624,299.0,0.1251323023797499,0.0,65,67,69,70,77,85,100,120,120,120,120
GET,/questionnaire/household/{id}/country-of-birth/,150,0,54,59.73367749999722,47.99941700002819,310.794875000056,21838.5,0.1251323023797499,0.0,54,56,58,59,68,96,110,150,310,310,310
POST,/questionnaire/household/{id}/country-of-birth/,150,0,66,72.09061000667035,59.5336670000961,325.2980420000142,315.0,0.1251323023797499,0.0,66,69,70,72,79,100,180,180,330,330,330
GET,/questionnaire/household/{id}/date-of-birth/,150,0,54,62.32164722666607,48.27483299999358,338.9945420000018,19398.0,0.1251323023797499,0.0,54,56,58,60,91,100,190,210,340,340,340
POST,/questionnaire/household/{id}/date-of-birth/,150,0,67,69.28030640000033,58.88849999996637,124.44458400000258,295.0,0.1251323023797499,0.0,67,69,71,72,77,86,120,120,120,120,120
GET,/questionnaire/household/{id}/degree-level-or-above/,150,0,53,60.488421379993696,47.96533299997918,616.5574590000027,21940.0,0.1251323023797499,0.0,54,56,58,58,64,78,100,190,620,620,620
POST,/questionnaire/household/{id}/degree-level-or-above/,150,0,66,90.53684920000443,59.431374999999065,3215.4228750000584,291.0,0.1251323023797499,0.0,67,69,70,71,78,100,130,130,3200,3200,3200
GET,/questionnaire/household/{id}/employment-status-last-seven-days/,150,0,55,57.934260560003715,48.1500829999959,173.16858399999546,23276.0,0.1251323023797499,0.0,55,57,58,59,65,78,100,110,170,170,170
POST,/questionnaire/household/{id}/employment-status-last-seven-days/,150,0,67,70.572853599999,60.51512500005174,179.6348749999197,315.0,0.1251323023797499,0.0,67,70,71,73,79,90,120,180,180,180,180
GET,/questionnaire/household/{id}/ethnic-group/,150,0,55,58.24502889999436,48.81354199994803,152.08637499995348,24542.0,0.1251323023797499,0.0,55,57,58,59,70,76,100,130,150,150,150
POST,/questionnaire/household/{id}/ethnic-group/,150,0,67,72.1145603000034,58.49083399994015,357.64849999986836,309.0,0.1251323023797499,0.0,67,69,70,71,83,96,150,200,360,360,360
GET,/questionnaire/household/{id}/gcse/,150,0,54,59.65059807999306,48.27145799998789,310.51145799995084,23182.0,0.1251323023797499,0.0,54,56,57,58,63,91,110,180,310,310,310
POST,/questionnaire/household/{id}/gcse/,150,0,66,70.36501551999585,59.5130000000097,177.84066699999812,297.0,0.1251323023797499,0.0,66,69,70,72,76,93,150,160,180,180,180
GET,/questionnaire/household/{id}/gender-identity/,150,0,54,57.5875910999975,49.63479099995993,258.8013329999992,20410.0,0.1251323023797499,0.0,54,56,57,58,62,71,93,150,260,260,260
POST,/questionnaire/household/{id}/gender-identity/,150,0,68,69.62877336666466,58.44841600003292,155.1842499999978,327.0,0.1251323023797499,0.0,68,70,71,71,76,85,110,120,160,160,160
GET,/questionnaire/household/{id}/health-conditions-or-illnesses/,150,0,55,56.619609693333295,48.753500000088934,122.86074999999919,21296.0,0.1251323023797499,0.0,55,56,57,59,66,75,94,100,120,120,120
POST,/questionnaire/household/{id}/health-conditions-or-illnesses/,150,0,67,70.07317470666642,60.86987499998031,142.68312499999956,329.0,0.1251323023797499,0.0,67,70,72,74,79,91,110,120,140,140,140
GET,/questionnaire/household/{id}/health/,150,0,53,56.28962868000278,47.89704199993139,165.8123330000194,20604.0,0.1251323023797499,0.0,53,55,56,57,65,74,100,110,170,170,170
POST,/questionnaire/household/{id}/health/,150,0,67,70.12625053999994,58.74262500003624,129.3169160000005,333.0,0.1251323023797499,0.0,68,69,71,72,83,90,120,130,130,130,130
GET,/questionnaire/household/{id}/hours-worked/,150,0,54,57.8347627866701,48.7952910000331,366.8610830000034,20799.0,0.1251323023797499,0.0,55,56,57,58,61,70,95,98,370,370,370
POST,/questionnaire/household/{id}/hours-worked/,150,0,67,69.02614890667076,58.66220899997643,129.97695899991868,301.0,0.1251323023797499,0.0,67,69,71,73,79,82,110,120,130,130,130
GET,/questionnaire/household/{id}/in-education/,150,0,53,57.04190025332904,47.69070899999761,174.7475839999879,18886.0,0.1251323023797499,0.0,53,55,56,57,63,78,98,170,170,170,170
POST,/questionnaire/household/{id}/in-education/,150,0,66,74.01754302666313,58.90420900001914,479.60470799998234,305.0,0.1251323023797499,0.0,66,69,71,73,84,110,200,200,480,480,480
GET,/questionnaire/household/{id}/individual-coronavirus-circumstances/,150,0,51,52.99234245333154,46.140250000007654,89.3674590001865,17122.5,0.1251323023797499,0.0,51,53,54,55,57,70,83,84,89,89,89
POST,/questionnaire/household/{id}/individual-coronavirus-circumstances/,150,0,64,65.92414805332682,55.80912499999613,109.20245800002704,321.0,0.1251323023797499,0.0,64,66,68,69,78,86,110,110,110,110,110
GET,/questionnaire/household/{id}/individual-introduction/,150,0,51,54.63116418000312,46.06133300001147,114.10349999994196,18214.5,0.1251323023797499,0.0,51,53,55,56,66,83,100,110,110,110,110
POST,/questionnaire/household/{id}/individual-introduction/,150,0,63,65.71669138000078,55.567999999993845,123.67291699990801,345.0,0.1251323023797499,0.0,63,65,67,69,75,84,110,110,120,120,120
GET,/questionnaire/household/{id}/job-description/,150,0,54,61.50272138000153,47.67500000002656,604.8163749999986,18290.0,0.1251323023797499,0.0,54,55,57,59,78,87,110,140,600,600,600
POST,/questionnaire/household/{id}/job-description/,150,0,64,66.26234079333611,56.47812500001237,124.20874999997977,299.0,0.1251323023797499,0.0,64,66,67,69,76,80,97,110,120,120,120
GET,/questionnaire/household/{id}/job-title/,150,0,54,62.38145861333235,46.88625000005686,632.9373750000045,18559.0,0.1251323023797499,0.0,54,56,57,59,70,90,170,180,630,630,630
POST,/questionnaire/household/{id}/job-title/,150,0,64,67.83483859332812,57.06483300002674,152.79545800001415,303.0,0.1251323023797499,0.0,64,67,69,70,77,90,110,120,150,150,150
GET,/questionnaire/household/{id}/location-one-year-ago/,150,0,54,58.4159289000052,48.191707999990285,174.809458000027,21237.0,0.1251323023797499,0.0,54,56,57,58,65,82,110,170,170,170,170
POST,/questionnaire/household/{id}/location-one-year-ago/,150,0,66,69.82368305333326,57.366249999859065,193.3860829999503,307.0,0.1251323023797499,0.0,67,69,70,72,79,91,120,180,190,190,190
GET,/questionnaire/household/{id}/look-after-or-support-others/,150,0,54,57.034831686667665,48.513708000029965,122.90554200000159,22685.0,0.1251323023797499,0.0,54,56,57,58,66,76,100,110,120,120,120
POST,/questionnaire/household/{id}/look-after-or-support-others/,150,0,66,70.67285056666522,58.10570799999937,208.75316600000815,309.0,0.1251323023797499,0.0,66,70,71,73,84,93,120,150,210,210,210
GET,/questionnaire/household/{id}/main-job-introduction/,150,0,52,53.996194406671236,46.62500000000591,173.7721250000277,17241.5,0.1251323023797499,0.0,52,54,55,55,59,69,76,84,170,170,170
POST,/questionnaire/household/{id}/main-job-introduction/,150,0,63,66.35154496666519,56.70558299999584,159.6036670000558,303.0,0.1251323023797499,0.0,63,66,68,69,75,85,100,120,160,160,160
GET,/questionnaire/household/{id}/main-job-status/,150,0,53,58.63025249999893,48.04749999999558,548.2286250000002,20198.5,0.1251323023797499,0.0,53,54,56,57,59,69,100,180,550,550,550
POST,/questionnaire/household/{id}/main-job-status/,150,0,67,68.85363362666679,59.112583000000996,177.31575000004796,299.0,0.1251323023797499,0.0,67,70,72,72,75,80,92,110,180,180,180
GET,/questionnaire/household/{id}/main-language/,150,0,55,57.55827553333642,48.98741700003484,118.36341599999933,20977.5,0.1251323023797499,0.0,55,57,58,59,69,83,100,100,120,120,120
POST,/questionnaire/household/{id}/main-language/,150,0,66,69.81878163333114,58.94050000006246,175.0214160000496,291.0,0.1251323023797499,0.0,66,70,72,73,81,91,110,110,180,180,180
GET,/questionnaire/household/{id}/mainly-work-in-uk/,75,0,54,55.314582226660036,49.23929100004898,97.4845000000002,19156.0,0.06256615118987495,0.0,54,56,57,58,60,62,70,97,97,97,97
POST,/questionnaire/household/{id}/mainly-work-in-uk/,75,0,67,68.63326386666618,60.12533299997358,94.79466699997374,307.0,0.06256615118987495,0.0,67,70,71,72,78,83,87,95,95,95,95
GET,/questionnaire/household/{id}/marital-or-civil-partnership-status/,150,0,54,58.76814471333575,49.278875000027256,265.87066700005835,24813.0,0.1251323023797499,0.0,55,56,57,58,66,81,110,170,270,270,270
POST,/questionnaire/household/{id}/marital-or-civil-partnership-status/,150,0,67,70.89533973333917,58.84383399998683,256.238250000024,315.0,0.1251323023797499,0.0,67,70,71,73,79,84,120,170,260,260,260
GET,/questionnaire/household/{id}/national-identity/,150,0,53,58.44240614666753,47.89420899999186,245.23941700000051,21439.5,0.1251323023797499,0.0,53,56,57,57,62,89,170,170,250,250,250
POST,/questionnaire/household/{id}/national-identity/,150,0,67,69.54721743333414,58.805165999956444,177.13270900003408,297.0,0.1251323023797499,0.0,67,69,70,70,76,82,130,150,180,180,180
GET,/questionnaire/household/{id}/nvq-level/,150,0,55,61.48315728666522,50.2522500000282,632.4594170000033,23371.0,0.1251323023797499,0.0,55,57,58,59,67,75,110,160,630,630,630
POST,/questionnaire/household/{id}/nvq-level/,150,0,66,68.65330306666228,59.19249999999465,119.03520800000678,287.0,0.1251323023797499,0.0,66,69,71,72,78,91,110,110,120,120,120
GET,/questionnaire/household/{id}/passports/,150,0,54,59.02634918666943,48.46079200001441,242.33049999998002,21015.5,0.1251323023797499,0.0,54,56,58,59,68,80,120,160,240,240,240
POST,/questionnaire/household/{id}/passports/,150,0,68,90.95003116000778,59.72729199999094,3184.904667000069,285.0,0.1251323023797499,0.0,68,71,72,74,80,86,130,170,3200,3200,3200
GET,/questionnaire/household/{id}/qualifications-introduction/,150,0,51,56.360018326669426,46.03391700004522,452.31775000000243,17125.5,0.1251323023797499,0.0,51,54,55,56,59,65,120,130,450,450,450
POST,/questionnaire/household/{id}/qualifications-introduction/,150,0,63,66.1992252999995,57.3303329999959,129.55870799999047,301.0,0.1251323023797499,0.0,63,66,68,70,77,85,100,110,130,130,130
GET,/questionnaire/household/{id}/religion/,150,0,55,57.6111044333297,48.01395800006958,105.55904200009536,23912.5,0.1251323023797499,0.0,55,57,58,59,69,78,95,100,110,110,110
POST,/questionnaire/household/{id}/religion/,150,0,67,91.31444440666219,59.181624999951055,3210.598416000039,299.0,0.1251323023797499,0.0,67,70,72,74,80,95,140,140,3200,3200,3200
GET,/questionnaire/household/{id}/sex-of-current-spouse/,150,0,53,56.34816313333367,47.351750000018455,191.1790829999518,19067.0,0.1251323023797499,0.0,53,55,56,57,60,70,98,150,190,190,190
POST,/questionnaire/household/{id}/sex-of-current-spouse/,150,0,67,74.25275422667069,58.9717080000014,493.4813340000801,303.0,0.1251323023797499,0.0,67,70,71,72,80,100,180,310,490,490,490
GET,/questionnaire/household/{id}/sex/,150,0,53,57.06164084667041,48.84812500000635,122.50237499995364,19083.0,0.1251323023797499,0.0,54,56,57,58,70,80,110,110,120,120,120
POST,/questionnaire/household/{id}/sex/,150,0,67,72.25816724666213,58.32762499994715,331.5720839999585,343.0,0.1251323023797499,0.0,67,69,71,74,84,92,150,160,330,330,330
GET,/questionnaire/household/{id}/sexual-orientation/,150,0,56,58.7045105533317,49.328875000014705,169.2766659999947,23957.0,0.1251323023797499,0.0,56,58,58,59,65,86,98,99,170,170,170
POST,/questionnaire/household/{id}/sexual-orientation/,150,0,67,70.33700895333598,58.9444160000312,201.76858399999986,303.0,0.1251323023797499,0.0,67,69,71,71,80,90,100,190,200,200,200
GET,/questionnaire/household/{id}/supervise-others/,150,0,53,57.81229944000245,48.27441600002658,507.11674999999445,19096.0,0.1251323023797499,0.0,53,55,56,57,61,69,96,110,510,510,510
POST,/questionnaire/household/{id}/supervise-others/,150,0,66,88.71407137332577,59.53287499983162,3214.7758749999866,297.0,0.1251323023797499,0.0,66,69,71,72,75,78,93,120,3200,3200,3200
GET,/questionnaire/household/{id}/travel-to-work/,150,0,54,56.65261664666648,48.63562500000285,163.65974999999366,25194.5,0.1251323023797499,0.0,54,56,57,58,60,72,89,110,160,160,160
POST,/questionnaire/household/{id}/travel-to-work/,150,0,67,70.02481944666691,59.03745899999535,204.08133400007955,301.0,0.1251323023797499,0.0,67,70,72,72,79,85,100,120,200,200,200
GET,/questionnaire/household/{id}/what-is-your-name/,75,0,53,58.96731450667441,46.882291999963854,183.53200000000004,18703.0,0.06256615118987495,0.0,53,55,56,56,73,96,170,180,180,180,180
POST,/questionnaire/household/{id}/what-is-your-name/,75,0,63,66.17955892001459,55.056084000057126,177.73283399998263,277.0,0.06256615118987495,0.0,63,64,66,68,78,91,120,180,180,180,180
GET,/questionnaire/household/{id}/white-ethnic-group/,150,0,53,56.399514753334564,48.729332999982944,101.53362500000185,23513.5,0.1251323023797499,0.0,54,56,57,59,66,71,96,99,100,100,100
POST,/questionnaire/household/{id}/white-ethnic-group/,150,0,65,72.13619609333095,59.32541699996818,498.1454170000461,289.0,0.1251323023797499,0.0,66,69,71,72,78,84,100,250,500,500,500
GET,/questionnaire/household/{id}/workplace-address/,75,0,58,63.92891943999913,52.13920800002825,168.14204100001007,25626.0,0.06256615118987495,0.0,58,59,61,63,100,110,110,170,170,170,170
POST,/questionnaire/household/{id}/workplace-address/,75,0,68,75.46990612000816,60.802916000000096,465.91687500006174,237.0,0.06256615118987495,0.0,68,70,72,73,79,87,130,470,470,470,470
GET,/questionnaire/household/{id}/workplace-type/,150,0,55,56.337583906667774,49.45166699999959,86.18929199997183,24971.0,0.1251323023797499,0.0,55,57,58,59,62,71,80,81,86,86,86
POST,/questionnaire/household/{id}/workplace-type/,150,0,67,71.26982056666202,59.59566699999641,443.70695800000703,272.0,0.1251323023797499,0.0,67,69,70,71,76,85,120,140,440,440,440
GET,/questionnaire/number-of-bedrooms/,75,0,53,55.39521665333911,46.564749999959076,108.74945800014757,18260.0,0.06256615118987495,0.0,53,56,57,58,61,74,95,110,110,110,110
POST,/questionnaire/number-of-bedrooms/,75,0,61,65.52037280000253,53.92295799998692,125.18512500014367,269.0,0.06256615118987495,0.0,61,65,67,69,74,98,110,130,130,130,130
GET,/questionnaire/number-of-vehicles/,75,0,54,57.99798164000266,48.03716600008556,156.64120799999637,22668.0,0.06256615118987495,0.0,54,56,59,62,68,78,110,160,160,160,160
POST,/questionnaire/number-of-vehicles/,75,0,62,64.8449121733297,56.434417000104986,101.17841699991459,237.0,0.06256615118987495,0.0,62,65,66,67,79,83,92,100,100,100,100
GET,/questionnaire/own-or-rent/,75,0,53,57.138140666660895,46.382583999957205,119.46016600000053,21405.0,0.06256615118987495,0.0,53,54,56,57,73,94,120,120,120,120,120
POST,/questionnaire/own-or-rent/,75,0,64,66.64925836000293,55.778332999921076,112.33000000001425,275.0,0.06256615118987495,0.0,64,65,68,70,75,97,110,110,110,110,110
GET,/questionnaire/people-living-here/,75,0,55,62.54288557332994,47.12608299996646,152.63670800000284,23164.0,0.06256615118987495,0.0,55,57,59,64,87,140,140,150,150,150,150
POST,/questionnaire/people-living-here/,75,0,63,68.72817220000748,56.037624999987656,182.63095800000428,293.0,0.06256615118987495,0.0,63,65,66,69,91,110,150,180,180,180,180
GET,/questionnaire/people-who-live-here-introduction/,75,0,53,65.93932662666184,45.17075000001114,476.3305830000002,19356.0,0.06256615118987495,0.0,53,55,56,58,72,110,420,480,480,480,480
POST,/questionnaire/people-who-live-here-introduction/,75,0,63,65.67356777333652,54.194000000052256,140.11425000001054,287.0,0.06256615118987495,0.0,63,64,65,67,79,100,120,140,140,140,140
GET,/questionnaire/relationships-introduction/,75,0,50,53.43404893334243,43.80516700000214,105.27570899999716,16380.0,0.06256615118987495,0.0,50,52,54,55,65,82,99,110,110,110,110
POST,/questionnaire/relationships-introduction/,75,0,62,107.89287116000436,54.546125000001666,3215.289958000085,265.0,0.06256615118987495,0.0,62,65,67,68,87,110,130,3200,3200,3200,3200
GET,/questionnaire/relationships/,75,0,48,52.30515276000268,41.501375000052576,97.02112500000126,319.0,0.06256615118987495,0.0,48,50,51,56,75,87,93,97,97,97,97
GET,/questionnaire/relationships/household/{id}/to/{id}/,75,0,62,78.64073380000143,53.43604199993024,546.0818750000005,28709.0,0.06256615118987495,0.0,62,68,71,81,110,140,310,550,550,550,550
POST,/questionnaire/relationships/household/{id}/to/{id}/,75,0,70,76.96018331999832,62.079541999992216,307.19604200010053,237.0,0.06256615118987495,0.0,70,72,74,77,96,110,130,310,310,310,310
GET,/questionnaire/rooms-shared-with-another-household/,75,0,53,57.59196453332397,46.85079199998654,112.9646669999147,21219.0,0.06256615118987495,0.0,53,55,58,59,72,100,110,110,110,110,110
POST,/questionnaire/rooms-shared-with-another-household/,75,0,63,66.64714885333181,55.57641699999749,123.83875000000444,275.0,0.06256615118987495,0.0,63,66,68,69,76,100,120,120,120,120,120
GET,/questionnaire/sections/people-who-live-here-and-overnight-visitors/,75,0,55,59.48518664000101,48.565290999931676,123.0989580000008,24815.0,0.06256615118987495,0.0,55,57,62,65,74,97,110,120,120,120,120
POST,/questionnaire/sections/people-who-live-here-and-overnight-visitors/,75,0,48,52.14536107999464,43.5117499999933,104.16254200004005,237.0,0.06256615118987495,0.0,48,50,54,58,64,75,100,100,100,100,100
GET,/questionnaire/type-of-house/,75,0,52,59.78115174666464,46.36620799999491,372.7587500000027,19779.0,0.06256615118987495,0.0,52,53,54,55,68,100,110,370,370,370,370
POST,/questionnaire/type-of-house/,75,0,62,108.14091169333501,54.75691699996332,3205.477958999978,309.0,0.06256615118987495,0.0,62,66,66,71,82,120,120,3200,3200,3200,3200
GET,/questionnaire/visitors/any-more-visitors-add-visitor/?previous=any-visitors,75,0,52,59.928112266671526,46.646166999948946,237.04408300000068,20387.0,0.06256615118987495,0.0,52,55,57,59,80,100,150,240,240,240,240
POST,/questionnaire/visitors/any-more-visitors-add-visitor/?previous=any-visitors,75,0,65,73.5017177199985,56.8610829999443,344.42329200010136,273.0,0.06256615118987495,0.0,65,68,70,73,91,110,150,340,340,340,340
GET,/questionnaire/visitors/{id}/visitor-date-of-birth/,75,0,54,57.00053836000369,48.21879199994328,116.04254200000241,21464.0,0.06256615118987495,0.0,54,55,56,57,59,95,100,120,120,120,120
POST,/questionnaire/visitors/{id}/visitor-date-of-birth/,75,0,65,68.29402058667095,58.006792000014684,206.17695799995772,293.0,0.06256615118987495,0.0,65,67,68,69,75,81,100,210,210,210,210
GET,/questionnaire/visitors/{id}/visitor-introduction/,75,0,50,52.14255890666735,44.96083300000464,84.6761669999978,17102.0,0.06256615118987495,0.0,50,51,53,54,58,68,78,85,85,85,85
POST,/questionnaire/visitors/{id}/visitor-introduction/,75,0,61,62.93251993332575,55.303500000036365,105.0654170001053,313.0,0.06256615118987495,0.0,61,64,65,66,69,70,86,110,110,110,110
GET,/questionnaire/visitors/{id}/visitor-sex/,75,0,53,54.19582618666965,48.42162500000313,90.20725000004859,20743.0,0.06256615118987495,0.0,53,54,55,56,57,65,87,90,90,90,90
POST,/questionnaire/visitors/{id}/visitor-sex/,75,0,65,70.41300617333528,57.236208000063016,256.18358300005184,313.0,0.06256615118987495,0.0,65,67,68,70,75,100,180,260,260,260,260
GET,/questionnaire/visitors/{id}/visitor-usual-address-details/,75,0,58,63.67842220000583,49.07037499992839,114.05245900004957,23846.0,0.06256615118987495,0.0,58,59,61,66,110,110,110,110,110,110,110
POST,/questionnaire/visitors/{id}/visitor-usual-address-details/,75,0,65,73.00984331999832,58.61491699999988,532.4351670000169,237.0,0.06256615118987495,0.0,65,67,68,70,74,86,120,530,530,530,530
GET,/questionnaire/visitors/{id}/visitor-usual-address/,75,0,53,54.41106443999402,47.62620799999695,98.75483299992993,20873.0,0.06256615118987495,0.0,53,54,55,56,59,61,90,99,99,99,99
POST,/questionnaire/visitors/{id}/visitor-usual-address/,75,0,63,65.36758055999091,58.096499999919615,108.14733300003354,329.0,0.06256615118987495,0.0,63,66,68,69,70,74,87,110,110,110,110
POST,/questionnaire/who-else-lives-here/,75,0,62,70.55590174666555,55.55566700002146,296.81879199995365,375.0,0.06256615118987495,0.0,62,65,67,69,87,97,180,300,300,300,300
GET,/session,75,0,100,111.74429558667529,91.52808399994683,391.49995799999994,237.0,0.06256615118987495,0.0,100,110,120,120,130,140,160,390,390,390,390
GET,/submitted/confirmation-email/confirm?email={id},75,0,43,45.611532826661644,38.27654199994868,74.14970800004994,18186.0,0.06256615118987495,0.0,43,45,48,49,51,71,72,74,74,74,74
POST,/submitted/confirmation-email/confirm?email={id},75,0,130.0,141.40323110666924,93.69416599997749,209.0892079999982,477.0,0.06256615118987495,0.0,130,140,150,170,190,200,210,210,210,210,210
GET,/submitted/confirmation-email/sent?email={id},74,0,41,45.2195839324368,37.37987499994233,102.42579100000171,18301.0,0.06173193584067662,0.0,41,43,46,52,56,68,70,100,100,100,100
GET,/submitted/feedback/send,74,0,45,52.19572582432336,39.553499999954056,136.55375000000447,22307.0,0.06173193584067662,0.0,45,46,57,66,75,94,99,140,140,140,140
