Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/questionnaire,75,0,46,50.78387050666562,40.824333000045954,128.054416,289.0,0.06256615118987495,0.0,46,48,50,52,67,77,90,130,130,130,130
GET,/questionnaire/,375,0,51,56.321067370667876,45.552917000009074,521.0328329999995,28307.6,0.31283075594937476,0.0,51,53,55,56,68,86,110,120,520,520,520
POST,/questionnaire/,375,0,51,78.5781823360022,43.45541600000047,1310.9254169999645,297.8,0.31283075594937476,0.0,51,54,66,130,160,190,200,230,1300,1300,1300
GET,/questionnaire/accommodation-introduction/,75,0,50,54.648858373343025,44.75504100000194,124.09241700004259,17276.0,0.06256615118987495,0.0,50,51,52,53,73,93,110,120,120,120,120
POST,/questionnaire/accommodation-introduction/,75,0,62,110.00331666666835,55.00483299999814,3217.943166999987,275.0,0.06256615118987495,0.0,62,65,66,68,76,100,310,3200,3200,3200,3200
GET,/questionnaire/accommodation-type/,75,0,52,56.56673498666215,45.85654199999567,98.94958299999956,20089.0,0.06256615118987495,0.0,52,54,56,57,76,94,97,99,99,99,99
POST,/questionnaire/accommodation-type/,75,0,63,66.45329450666632,55.88770899998963,116.06391700000174,265.0,0.06256615118987495,0.0,63,66,67,68,78,110,110,120,120,120,120
GET,/questionnaire/any-more-people-living-here/,75,0,55,70.08326158666402,48.81554100006724,627.0740830000001,26668.0,0.06256615118987495,0.0,55,57,59,63,93,130,250,630,630,630,630
POST,/questionnaire/any-more-people-living-here/,75,0,65,73.77833774667884,57.1997920000058,403.12987499999053,263.0,0.06256615118987495,0.0,65,66,67,70,80,120,180,400,400,400,400
GET,/questionnaire/any-more-visitors/,75,0,52,57.05133168000049,47.24687499998481,104.80279199998677,21595.0,0.06256615118987495,0.0,52,55,57,59,73,94,100,100,100,100,100
POST,/questionnaire/any-more-visitors/,75,0,63,68.35121115999976,56.55162499999733,120.54545799999516,343.0,0.06256615118987495,0.0,63,66,68,71,85,110,120,120,120,120,120
GET,/questionnaire/any-visitors/,75,0,55,66.40481718666587,48.3334159999913,550.1952500000016,23470.0,0.06256615118987495,0.0,55,56,58,59,81,100,180,550,550,550,550
POST,/questionnaire/any-visitors/,75,0,62,68.24953112000824,56.47816699999453,181.75962499998377,359.0,0.06256615118987495,0.0,62,66,67,69,82,110,120,180,180,180,180
GET,/questionnaire/central-heating/,75,0,53,57.3490821600003,46.72350000004144,111.75174999993942,24532.0,0.06256615118987495,0.0,53,55,56,57,65,98,110,110,110,110,110
POST,/questionnaire/central-heating/,75,0,62,68.38440609334774,56.95674999998346,315.62254099992515,261.0,0.06256615118987495,0.0,62,65,67,68,71,93,120,320,320,320,320
GET,/questionnaire/coronavirus-circumstances/,75,0,49,59.982721666667494,43.44883400005983,377.97258300000004,16250.0,0.06256615118987495,0.0,49,51,52,54,69,88,360,380,380,380,380
POST,/questionnaire/coronavirus-circumstances/,75,0,62,68.61573166667094,54.690542000003006,353.0095410000058,305.0,0.06256615118987495,0.0,62,64,65,68,76,110,140,350,350,350,350
GET,/questionnaire/do-you-usually-live-here/,75,0,52,62.32819398666123,46.58487500000774,308.8751669999965,21196.0,0.06256615118987495,0.0,52,55,56,58,77,100,280,310,310,310,310
