Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1618469388,1,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1618469389,1,,Aggregated,0.000000,0.000000,130,130,130,130,250,250,250,250,250,250,250,6,0,130.0,138.11879849999997,70.54074999999993,252.657666,6120.666666666667
1618469390,1,,Aggregated,0.000000,0.000000,130,130,180,230,250,340,340,340,340,340,340,13,0,130.0,150.94215699999995,70.54074999999993,335.81608399999993,7444.692307692308
1618469391,1,,Aggregated,5.000000,0.000000,120,130,150,180,250,340,350,350,350,350,350,21,0,120.0,138.4684026666666,55.174999999999756,346.01491600000014,9126.57142857143
1618469392,1,,Aggregated,5.000000,0.000000,98,120,130,150,250,340,350,350,350,350,350,28,0,95,121.3630906428571,52.08716600000018,346.01491600000014,9129.0
1618469393,1,,Aggregated,6.666667,0.000000,79,120,130,130,230,340,590,590,590,590,590,42,0,77,117.27871519047619,47.420959000000096,590.2575000000003,9767.02380952381
1618469394,1,,Aggregated,7.000000,0.000000,74,93,120,120,180,340,350,590,590,590,590,56,0,71,104.77493669642858,47.420959000000096,590.2575000000003,10040.892857142857
1618469395,1,,Aggregated,8.000000,0.000000,71,85,110,120,180,250,350,590,590,590,590,68,0,71,100.69577017647057,47.420959000000096,590.2575000000003,10103.911764705883
1618469396,1,,Aggregated,9.166667,0.000000,71,85,110,120,180,250,350,590,590,590,590,80,0,71,98.71170462500007,47.420959000000096,590.2575000000003,10247.95
1618469397,1,,Aggregated,9.571429,0.000000,71,89,110,120,150,240,350,590,590,590,590,91,0,71,98.2491098351649,47.420959000000096,590.2575000000003,10458.604395604396
1618469398,1,,Aggregated,9.750000,0.000000,71,85,110,120,150,230,340,350,590,590,590,103,0,71,96.54337534951463,47.420959000000096,590.2575000000003,10481.553398058253
1618469399,1,,Aggregated,9.750000,0.000000,69,80,99,110,140,230,340,350,590,590,590,116,0,69,92.6403171379311,47.420959000000096,590.2575000000003,10441.568965517241
1618469400,1,,Aggregated,9.777778,0.000000,68,77,96,110,140,230,340,350,590,590,590,128,0,68,92.01178218750006,47.420959000000096,590.2575000000003,10376.0234375
1618469401,1,,Aggregated,11.100000,0.000000,68,77,95,110,130,230,340,350,590,590,590,142,0,68,91.0173555985916,46.595749999999825,590.2575000000003,10448.598591549297
1618469402,1,,Aggregated,11.700000,0.000000,68,76,93,100,130,230,340,350,590,590,590,156,0,68,89.7732040384616,46.595749999999825,590.2575000000003,10451.429487179486
1618469403,1,,Aggregated,12.000000,0.000000,68,74,87,100,130,220,340,350,590,590,590,170,0,67,88.06696859411765,46.595749999999825,590.2575000000003,10527.482352941177
1618469404,1,,Aggregated,12.400000,0.000000,67,71,82,96,130,210,340,350,590,590,590,187,0,67,85.52839479144382,46.595749999999825,590.2575000000003,10604.663101604277
1618469405,1,,Aggregated,12.700000,0.000000,67,71,80,95,130,210,340,350,590,590,590,200,0,67,84.442279135,46.595749999999825,590.2575000000003,10574.61
1618469406,1,,Aggregated,12.800000,0.000000,67,71,79,93,130,210,250,340,590,590,590,215,0,67,83.61554957209306,46.595749999999825,590.2575000000003,10616.479069767442
1618469407,1,,Aggregated,13.100000,0.000000,67,71,78,89,120,180,250,340,590,590,590,230,0,67,82.69862913043477,46.595749999999825,590.2575000000003,10604.795652173912
1618469408,1,,Aggregated,13.400000,0.000000,67,71,79,93,130,210,270,340,590,590,590,239,0,67,83.69884863598328,46.595749999999825,590.2575000000003,10664.05439330544
1618469409,1,,Aggregated,13.800000,0.000000,67,71,81,95,130,210,270,340,590,590,590,248,0,67,84.62691663306451,46.595749999999825,590.2575000000003,10586.963709677419
1618469410,1,,Aggregated,13.600000,0.000000,67,71,80,94,130,190,250,340,590,590,590,261,0,67,83.95493931034481,46.595749999999825,590.2575000000003,10574.103448275862
1618469411,1,,Aggregated,12.900000,0.000000,67,71,80,95,130,190,250,340,590,590,590,275,0,67,83.57119119272728,46.595749999999825,590.2575000000003,10612.065454545454
1618469412,1,,Aggregated,13.000000,0.000000,66,71,78,87,120,180,250,340,590,590,590,292,0,66,82.18551881849312,46.595749999999825,590.2575000000003,10605.195205479453
1618469413,1,,Aggregated,13.100000,0.000000,66,71,77,86,120,170,240,340,590,590,590,307,0,66,81.61063448208463,46.595749999999825,590.2575000000003,10597.977198697068
1618469414,1,,Aggregated,13.500000,0.000000,66,71,77,84,120,170,240,340,590,590,590,322,0,66,80.90533900621115,46.595749999999825,590.2575000000003,10585.959627329192
1618469415,1,,Aggregated,13.400000,0.000000,66,71,76,82,120,170,240,340,590,590,590,339,0,66,79.81802002064889,46.595749999999825,590.2575000000003,10628.176991150442
1618469416,1,,Aggregated,13.400000,0.000000,66,71,76,82,120,170,230,340,590,590,590,352,0,66,79.6612058295454,46.595749999999825,590.2575000000003,10620.701704545454
1618469417,1,,Aggregated,13.500000,0.000000,66,70,74,82,120,170,240,340,590,590,590,365,0,66,79.55863034794517,46.595749999999825,590.2575000000003,10619.780821917808
1618469418,1,,Aggregated,13.500000,0.000000,66,71,76,81,120,170,240,340,590,590,590,380,0,66,79.13757432105257,46.595749999999825,590.2575000000003,10614.38947368421
1618469419,1,,Aggregated,13.600000,0.000000,66,70,74,80,120,160,240,340,590,590,590,395,0,66,78.5357705468354,46.595749999999825,590.2575000000003,10624.774683544303
1618469420,1,,Aggregated,13.600000,0.000000,66,70,74,80,110,150,230,270,590,590,590,411,0,66,78.04063877372255,46.595749999999825,590.2575000000003,10652.627737226278
1618469421,1,,Aggregated,14.400000,0.000000,66,70,74,79,110,150,230,270,590,590,590,427,0,66,77.44330453864163,46.595749999999825,590.2575000000003,10651.6018735363
1618469422,1,,Aggregated,14.700000,0.000000,66,70,73,78,110,140,230,270,590,590,590,444,0,66,76.82261270495492,46.595749999999825,590.2575000000003,10639.394144144144
1618469423,1,,Aggregated,14.900000,0.000000,66,69,73,78,110,140,230,270,590,590,590,459,0,66,76.45024083224399,46.595749999999825,590.2575000000003,10655.444444444445
1618469424,1,,Aggregated,15.000000,0.000000,65,69,73,78,110,140,230,270,590,590,590,473,0,65,76.27028761099369,46.595749999999825,590.2575000000003,10680.32135306554
1618469425,1,,Aggregated,15.100000,0.000000,65,69,73,78,110,150,230,270,590,590,590,483,0,65,76.84934463147002,42.248749999998836,590.2575000000003,10683.465838509317
1618469426,1,,Aggregated,15.000000,0.000000,65,69,73,78,110,150,230,270,590,590,590,499,0,65,76.29114061122253,42.248749999998836,590.2575000000003,10617.082164328658
1618469427,1,,Aggregated,14.600000,0.000000,65,69,73,78,110,140,230,260,590,590,590,515,0,65,75.89583543689328,42.248749999998836,590.2575000000003,10659.405825242718
1618469428,1,,Aggregated,14.500000,0.000000,65,69,73,77,110,140,230,260,590,590,590,532,0,65,75.32111935902262,42.248749999998836,590.2575000000003,10633.983082706767
1618469429,1,,Aggregated,14.500000,0.000000,65,68,72,77,110,140,230,260,590,590,590,549,0,65,74.86585245537347,42.248749999998836,590.2575000000003,10641.934426229509
1618469430,1,,Aggregated,15.200000,0.000000,65,68,72,76,110,130,230,260,590,590,590,564,0,65,74.62260667375895,42.248749999998836,590.2575000000003,10633.904255319148
1618469431,1,,Aggregated,15.200000,0.000000,65,68,71,75,110,130,230,260,590,590,590,581,0,65,74.20202933046475,42.248749999998836,590.2575000000003,10657.134251290878
1618469432,1,,Aggregated,15.100000,0.000000,64,68,71,75,100,130,230,260,590,590,590,597,0,64,73.86807761139036,42.248749999998836,590.2575000000003,10666.886097152428
1618469433,1,,Aggregated,15.300000,0.000000,64,68,71,74,100,130,220,250,590,590,590,611,0,64,73.87292614566297,42.248749999998836,590.2575000000003,10647.325695581014
1618469434,1,,Aggregated,15.200000,0.000000,64,68,71,74,100,130,220,250,590,590,590,627,0,64,73.57747156299854,42.248749999998836,590.2575000000003,10654.529505582137
1618469435,1,,Aggregated,15.200000,0.000000,64,68,71,74,100,130,220,250,590,590,590,643,0,64,73.3269415520997,42.248749999998836,590.2575000000003,10655.541213063763
1618469436,1,,Aggregated,15.100000,0.000000,64,68,71,74,100,130,210,250,590,590,590,659,0,64,73.01773249013674,42.248749999998836,590.2575000000003,10671.729893778453
1618469437,1,,Aggregated,15.600000,0.000000,64,68,71,74,99,130,210,250,590,590,590,675,0,64,72.80682105481495,42.248749999998836,590.2575000000003,10678.314074074075
1618469438,1,,Aggregated,15.800000,0.000000,64,68,71,74,98,130,210,250,590,590,590,691,0,64,72.5321875991318,42.248749999998836,590.2575000000003,10664.069464544138
1618469439,1,,Aggregated,15.900000,0.000000,64,68,71,74,99,130,210,240,590,590,590,706,0,64,72.43225349008509,42.248749999998836,590.2575000000003,10673.313031161473
