Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1606229076,1,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1606229077,67,,Aggregated,0.000000,0.000000,760,760,760,760,760,760,760,760,760,760,760,2,0,740.0,748.7106500047958,738.0536000127904,759.3676999968011,237.0
1606229078,80,,Aggregated,0.000000,0.000000,880,960,1100,1100,1200,1300,1400,1600,1600,1600,1600,90,0,870.0,776.0721733318254,143.5734999831766,1565.6277999805752,255.48888888888888
1606229079,80,,Aggregated,0.000000,0.000000,920,1000,1100,1200,1300,1400,1600,1600,1700,1700,1700,133,0,920.0,857.6522887206489,143.5734999831766,1677.4783000000753,258.89473684210526
1606229080,80,,Aggregated,17.000000,0.000000,940,1100,1200,1200,1400,1700,2200,2200,2200,2200,2200,146,0,940.0,924.1284349303746,143.5734999831766,2242.709799989825,260.5068493150685
1606229081,80,,Aggregated,37.666667,0.000000,960,1100,1200,1200,1600,2200,2300,2400,2600,2600,2600,151,0,960.0,972.4674754953768,143.5734999831766,2566.1681999918073,261.4503311258278
1606229082,80,,Aggregated,37.666667,0.000000,960,1100,1200,1300,1600,2200,2400,2600,2800,2800,2800,152,0,960.0,984.8123934197678,143.5734999831766,2848.8950000028126,261.63157894736844
1606229083,80,,Aggregated,29.600000,0.000000,1100,1400,2300,3400,4600,4800,5300,5300,5500,5500,5500,199,0,1100.0,1726.9785819087006,143.5734999831766,5495.48899999354,3757.5175879396984
1606229084,80,,Aggregated,25.333333,0.000000,990,1400,2900,4000,4800,5200,5500,5600,6000,6000,6000,300,0,980.0,1730.1829133334104,76.74530000076629,5994.551500014495,5998.766666666666
1606229085,80,,Aggregated,24.142857,0.000000,620,1100,1400,2600,4600,5000,5400,5600,6000,6000,6000,395,0,620.0,1353.7069744309647,71.38069998472929,5994.551500014495,6603.12911392405
1606229086,80,,Aggregated,28.625000,0.000000,430,940,1200,1500,4400,4900,5300,5600,6000,6000,6000,484,0,430.0,1172.3073309925187,71.38069998472929,5994.551500014495,6960.7086776859505
1606229087,80,,Aggregated,37.666667,0.000000,470,960,1200,1400,4300,4900,5300,5500,6000,6000,6000,552,0,460.0,1118.2491012687683,71.38069998472929,5994.551500014495,7678.170289855072
1606229088,80,,Aggregated,42.100000,0.000000,430,830,1100,1200,3600,4800,5200,5400,6000,6000,6000,668,0,420.0,991.2756160184815,71.38069998472929,5994.551500014495,8041.730538922156
1606229089,80,,Aggregated,50.300000,0.000000,310,670,960,1100,2800,4700,5200,5400,6000,6000,6000,772,0,310.0,877.6369234459934,55.439399991882965,5994.551500014495,7887.863989637306
